NL,SQL
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
list customers with age greater than 694,SELECT * FROM loans WHERE age > 694;
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch borrowers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
what is the count disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch customers having age over 495,SELECT * FROM loans WHERE age > 495;
display borrowers having disbursement_amount greater than 784,SELECT * FROM loans WHERE disbursement_amount > 784;
list the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show clients with tenure_months over 684,SELECT * FROM loans WHERE tenure_months > 684;
show borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list people ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
list people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list clients with tenure_months greater than 32625 and disbursement_amount not exceeding 418,SELECT * FROM loans WHERE tenure_months > 32625 AND disbursement_amount < 418;
give me clients with disbursement_amount above 114,SELECT * FROM loans WHERE disbursement_amount > 114;
what is the maximum credit_score of all loans,SELECT MAX(credit_score) FROM loans;
show borrowers where tenure_months above 18738 and credit_score not exceeding 328,SELECT * FROM loans WHERE tenure_months > 18738 AND credit_score < 328;
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display people having tenure_months greater than 11114 and credit_score under 597,SELECT * FROM loans WHERE tenure_months > 11114 AND credit_score < 597;
give me clients with disbursement_amount over 184,SELECT * FROM loans WHERE disbursement_amount > 184;
show customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
give me clients having age more than 241,SELECT * FROM loans WHERE age > 241;
fetch borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the maximum disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
what is the maximum tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
give me customers with age greater than 761,SELECT * FROM loans WHERE age > 761;
what is the lowest credit_score of all loans,SELECT MIN(credit_score) FROM loans;
display people where tenure_months more than 5786 and disbursement_amount less than 521,SELECT * FROM loans WHERE tenure_months > 5786 AND disbursement_amount < 521;
what is the highest credit_score of all loans,SELECT MAX(credit_score) FROM loans;
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch borrowers with tenure_months above 839,SELECT * FROM loans WHERE tenure_months > 839;
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the total tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
what is the total credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
show borrowers where tenure_months more than 475,SELECT * FROM loans WHERE tenure_months > 475;
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients where disbursement_amount greater than 7246 and tenure_months not exceeding 391,SELECT * FROM loans WHERE disbursement_amount > 7246 AND tenure_months < 391;
what is the total disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
give me people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display clients with tenure_months greater than 9658 and credit_score below 507,SELECT * FROM loans WHERE tenure_months > 9658 AND credit_score < 507;
list people having credit_score greater than 600,SELECT * FROM loans WHERE credit_score > 600;
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
list clients where credit_score greater than 5164 and tenure_months not exceeding 378,SELECT * FROM loans WHERE credit_score > 5164 AND tenure_months < 378;
what is the total tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
list clients having age more than 833,SELECT * FROM loans WHERE age > 833;
list people where disbursement_amount above 10382 and tenure_months below 609,SELECT * FROM loans WHERE disbursement_amount > 10382 AND tenure_months < 609;
give me people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list people having disbursement_amount greater than 37218 and credit_score less than 328,SELECT * FROM loans WHERE disbursement_amount > 37218 AND credit_score < 328;
list borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
fetch clients having credit_score above 3166 and tenure_months not exceeding 661,SELECT * FROM loans WHERE credit_score > 3166 AND tenure_months < 661;
fetch clients with age more than 321,SELECT * FROM loans WHERE age > 321;
what is the minimum credit_score of all loans,SELECT MIN(credit_score) FROM loans;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the total credit_score of all loans,SELECT SUM(credit_score) FROM loans;
list people having credit_score over 450,SELECT * FROM loans WHERE credit_score > 450;
display customers where disbursement_amount greater than 198,SELECT * FROM loans WHERE disbursement_amount > 198;
show customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
give me customers with disbursement_amount over 20315 and tenure_months below 522,SELECT * FROM loans WHERE disbursement_amount > 20315 AND tenure_months < 522;
give me clients having disbursement_amount over 48515 and credit_score not exceeding 783,SELECT * FROM loans WHERE disbursement_amount > 48515 AND credit_score < 783;
what is the lowest disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
give me the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show people having age greater than 343,SELECT * FROM loans WHERE age > 343;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
display people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch people with disbursement_amount greater than 42925 and credit_score less than 628,SELECT * FROM loans WHERE disbursement_amount > 42925 AND credit_score < 628;
what is the avg tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
what is the maximum disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
fetch customers having disbursement_amount over 845,SELECT * FROM loans WHERE disbursement_amount > 845;
show people with credit_score more than 3660 and disbursement_amount under 490,SELECT * FROM loans WHERE credit_score > 3660 AND disbursement_amount < 490;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
